Trip_ID,Date,Time,Pickup_Location,Drop_Location,Distance_km,Payment_Type,Passenger_Count,Driver_Rating,Fare_Amount
UBER0001,2025-11-13,20:11,,Lajpat Nagar,18.54,Cash,4,4.0,311.83
UBER0002,2025-07-21,07:47,Dwarka,Connaught Place,6.04,Cash,4,5.0,
UBER0003,2025-07-26,07:01,Chandni Chowk,Indraprastha,15.01,Cash,1,4.9,209.89
UBER0004,2024-02-28,19:15,Chandni Chowk,Kalkaji,24.05,Wallet,1,3.1,290.55
UBER0005,2024-09-04,18:33,Greater Kailash,Rajouri Garden,7.4,Cash,3,3.2,145.21
UBER0006,2025-05-28,07:47,Janakpuri,Karol Bagh,6.93,Wallet,2,4.8,135.92
UBER0007,2024-07-23,11:48,IGI Airport,Rajouri Garden,10.91,Wallet,2,4.9,137.5
UBER0008,2024-02-16,02:06,Indraprastha,Gurugram Cyber City,6.22,Wallet,1,4.9,122.33
UBER0009,2024-05-01,11:24,Rajouri Garden,Kalkaji,4.41,Wallet,2,4.9,67.13
UBER0010,2024-01-23,18:56,Lajpat Nagar,Chandni Chowk,11.04,Wallet,3,3.6,148.44
UBER0011,2025-05-18,02:40,Gurugram Cyber City,Mayur Vihar,11.65,Cash,1,4.4,199.84
UBER0012,2024-01-04,15:36,Hauz Khas,Lajpat Nagar,23.63,Card,1,4.8,365.05
UBER0013,2024-06-01,06:47,Mayur Vihar,Dwarka,7.89,Cash,1,3.6,119.72
UBER0014,2025-01-20,21:28,Dwarka,Greater Kailash,28.43,Card,2,4.2,562.64
UBER0015,2024-08-09,09:39,Kalkaji,Noida Sector 15,9.97,Cash,1,3.9,174.83
UBER0016,2024-03-18,14:32,Lajpat Nagar,Rajouri Garden,6.16,Cash,4,3.4,84.71
UBER0017,2024-07-07,23:46,Kalkaji,Rajouri Garden,9.29,Cash,3,4.9,178.34
UBER0018,2024-04-19,08:20,Rohini,Chandni Chowk,23.85,Card,4,4.8,467.33
UBER0019,2024-05-27,19:09,Connaught Place,Gurugram Cyber City,28.3,Wallet,4,3.0,549.48
UBER0020,2024-01-15,13:54,Vasant Kunj,Vasant Kunj,8.04,Wallet,1,4.8,108.39
UBER0021,2025-03-30,23:14,Vasant Kunj,Vasant Kunj,3.66,Card,3,4.7,54.1
UBER0022,2024-07-06,17:08,Rohini,Indraprastha,3.08,Cash,1,4.2,43.42
UBER0023,2025-01-28,21:44,Rajouri Garden,Vasant Kunj,22.06,Wallet,1,4.4,316.61
UBER0024,2024-07-10,16:40,Noida Sector 15,Lajpat Nagar,18.66,Card,1,,343.12
UBER0025,2024-03-16,18:38,Janakpuri,Greater Kailash,24.05,Card,3,4.9,460.62
UBER0026,2024-05-04,02:19,Okhla,Pitampura,17.5,Cash,4,,264.89
UBER0027,2025-08-27,20:44,Rohini,Noida Sector 15,24.06,Card,4,3.2,417.1
UBER0028,2025-10-24,21:58,Rajouri Garden,Noida Sector 15,26.56,Cash,3,4.0,420.63
UBER0029,2025-11-20,09:32,Pitampura,Noida Sector 15,10.7,Cash,3,3.2,197.46
UBER0030,2024-11-10,21:21,Chandni Chowk,Hauz Khas,13.61,Wallet,4,,240.84
UBER0031,2024-05-14,03:38,Kalkaji,Connaught Place,15.69,Cash,3,4.7,300.63
