Trip_ID,Date,Time,Pickup_Location,Drop_Location,Distance_km,Payment_Type,Passenger_Count,Driver_Rating,Fare_Amount,DateTime,Hour,DayOfWeek,Month,Year,DayOfMonth,Weekend,Time_Category,Peak_Hour,Fare_per_km,Trip_Category,Trip_Efficiency,Rating_Category,Rating_Bin,Route,Same_Location_Trip,Route_Popularity,Payment_Type_Encoded,Passenger_Group,Time_Multiplier,Day_Premium,Is_Weekend,Final_Multiplier
UBER0001,2025-11-13,20:11,Unknown,Lajpat Nagar,18.54,Cash,4,4.0,311.83,2025-11-13 20:11:00,20,Thursday,November,2025,13,False,Evening,Off-Peak,16.819309600862997,Long,0.9071903776085759,Good,Average,Unknown to Lajpat Nagar,False,5,0,Large Group,1.2,1.0,0,1.2
UBER0002,2025-07-21,07:47,Dwarka,Connaught Place,6.04,Cash,4,5.0,249.21,2025-07-21 07:47:00,7,Monday,July,2025,21,False,Morning,Peak,41.25993377483444,Medium,6.831114863383185,Excellent,Excellent,Dwarka to Connaught Place,False,5,0,Large Group,1.3,1.0,0,1.3
UBER0003,2025-07-26,07:01,Chandni Chowk,Indraprastha,15.01,Cash,1,4.9,209.89,2025-07-26 07:01:00,7,Saturday,July,2025,26,True,Morning,Peak,13.983344437041971,Long,0.9316018945397716,Excellent,Excellent,Chandni Chowk to Indraprastha,False,2,0,Solo,1.3,1.25,1,1.625
UBER0004,2024-02-28,19:15,Chandni Chowk,Kalkaji,24.05,Wallet,1,3.1,290.55,2024-02-28 19:15:00,19,Wednesday,February,2024,28,False,Evening,Peak,12.08108108108108,Long,0.502331853683205,Average,Poor,Chandni Chowk to Kalkaji,False,5,2,Solo,1.35,1.0,0,1.35
UBER0005,2024-09-04,18:33,Greater Kailash,Rajouri Garden,7.4,Cash,3,3.2,145.21,2024-09-04 18:33:00,18,Wednesday,September,2024,4,False,Evening,Peak,19.622972972972974,Medium,2.6517531044558074,Average,Poor,Greater Kailash to Rajouri Garden,False,6,0,Small Group,1.35,1.0,0,1.35
UBER0006,2025-05-28,07:47,Janakpuri,Karol Bagh,6.93,Wallet,2,4.8,135.92,2025-05-28 07:47:00,7,Wednesday,May,2025,28,False,Morning,Peak,19.61327561327561,Medium,2.830198501194172,Excellent,Excellent,Janakpuri to Karol Bagh,False,5,2,Couple,1.3,1.0,0,1.3
UBER0007,2024-07-23,11:48,IGI Airport,Rajouri Garden,10.91,Wallet,2,4.9,137.5,2024-07-23 11:48:00,11,Tuesday,July,2024,23,False,Morning,Off-Peak,12.603116406966086,Medium,1.15518940485482,Excellent,Excellent,IGI Airport to Rajouri Garden,False,9,2,Couple,1.0,1.0,0,1.0
UBER0008,2024-02-16,02:06,Indraprastha,Gurugram Cyber City,6.22,Wallet,1,4.9,122.33,2024-02-16 02:06:00,2,Friday,February,2024,16,False,Night,Off-Peak,19.667202572347268,Medium,3.161929674010815,Excellent,Excellent,Indraprastha to Gurugram Cyber City,False,7,2,Solo,1.4,1.15,0,1.6099999999999999
UBER0009,2024-05-01,11:24,Rajouri Garden,Kalkaji,4.41,Wallet,2,4.9,67.13,2024-05-01 11:24:00,11,Wednesday,May,2024,1,False,Morning,Off-Peak,15.222222222222221,Short,3.4517510707986894,Excellent,Excellent,Rajouri Garden to Kalkaji,False,4,2,Couple,1.0,1.0,0,1.0
UBER0010,2024-01-23,18:56,Lajpat Nagar,Chandni Chowk,11.04,Wallet,3,3.6,148.44,2024-01-23 18:56:00,18,Tuesday,January,2024,23,False,Evening,Peak,13.445652173913045,Medium,1.2179032766225586,Average,Average,Lajpat Nagar to Chandni Chowk,False,5,2,Small Group,1.35,1.0,0,1.35
UBER0011,2025-05-18,02:40,Gurugram Cyber City,Mayur Vihar,11.65,Cash,1,4.4,199.84,2025-05-18 02:40:00,2,Sunday,May,2025,18,True,Night,Off-Peak,17.15364806866953,Medium,1.472416143233436,Good,Good,Gurugram Cyber City to Mayur Vihar,False,7,0,Solo,1.4,1.25,1,1.75
UBER0012,2024-01-04,15:36,Hauz Khas,Lajpat Nagar,23.63,Card,1,4.8,365.05,2024-01-04 15:36:00,15,Thursday,January,2024,4,False,Afternoon,Off-Peak,15.448582310622092,Long,0.6537698819560767,Excellent,Excellent,Hauz Khas to Lajpat Nagar,False,4,1,Solo,1.0,1.0,0,1.0
UBER0013,2024-06-01,06:47,Mayur Vihar,Dwarka,7.89,Cash,1,3.6,119.72,2024-06-01 06:47:00,6,Saturday,June,2024,1,True,Morning,Off-Peak,15.17363751584284,Medium,1.9231479741245678,Average,Average,Mayur Vihar to Dwarka,False,6,0,Solo,1.0,1.25,1,1.25
UBER0014,2025-01-20,21:28,Dwarka,Greater Kailash,28.43,Card,2,4.2,562.64,2025-01-20 21:28:00,21,Monday,January,2025,20,False,Night,Off-Peak,19.790362293352093,Long,0.6961084169311323,Good,Good,Dwarka to Greater Kailash,False,4,1,Couple,1.2,1.0,0,1.2
UBER0015,2024-08-09,09:39,Kalkaji,Noida Sector 15,9.97,Cash,1,3.9,174.83,2024-08-09 09:39:00,9,Friday,August,2024,9,False,Morning,Peak,17.535606820461386,Medium,1.7588371936270195,Average,Average,Kalkaji to Noida Sector 15,False,3,0,Solo,1.3,1.15,0,1.4949999999999999
UBER0016,2024-03-18,14:32,Lajpat Nagar,Rajouri Garden,6.16,Cash,4,3.4,84.71,2024-03-18 14:32:00,14,Monday,March,2024,18,False,Afternoon,Off-Peak,13.751623376623375,Medium,2.2324063923089894,Average,Poor,Lajpat Nagar to Rajouri Garden,False,5,0,Large Group,1.0,1.0,0,1.0
UBER0017,2024-07-07,23:46,Kalkaji,Rajouri Garden,9.29,Cash,3,4.9,178.34,2024-07-07 23:46:00,23,Sunday,July,2024,7,True,Night,Off-Peak,19.19698600645856,Medium,2.066413994236659,Excellent,Excellent,Kalkaji to Rajouri Garden,False,7,0,Small Group,1.4,1.25,1,1.75
UBER0018,2024-04-19,08:20,Rohini,Chandni Chowk,23.85,Card,4,4.8,467.33,2024-04-19 08:20:00,8,Friday,April,2024,19,False,Morning,Peak,19.594549266247377,Long,0.8215743927147746,Excellent,Excellent,Rohini to Chandni Chowk,False,6,1,Large Group,1.3,1.15,0,1.4949999999999999
